symbol,name,price,marketCap,volume,industry
NVDA,NVIDIA Corporation Common Stock,213.17,5180031000000.0,179821651,Technology
GOOGL,Alphabet Inc. Class A Common Stock,349.78,4231444016186.0,27774861,Technology
GOOG,Alphabet Inc. Class C Capital Stock,347.5,4203861843515.0,18460091,Technology
AAPL,Apple Inc. Common Stock,270.71,3974331409400.0,39977535,Technology
MSFT,Microsoft Corporation Common Stock,429.25,3187451280873.0,30373284,Technology
AMZN,Amazon.com Inc. Common Stock,259.7,2792879192200.0,42129865,Consumer Discretionary
AVGO,Broadcom Inc. Common Stock,399.83,1893062380009.0,25492642,Technology
META,Meta Platforms Inc. Class A Common Stock,671.34,1704145100907.0,10583192,Technology
TSLA,Tesla Inc. Common Stock,376.02,1412227289973.0,50693519,Industrials
BRK/B,Berkshire Hathaway Inc.,478.16,1054969845157.0,4897331,
WMT,Walmart Inc. Common Stock,127.59,1017198835103.0,16336083,Consumer Discretionary
JPM,JP Morgan Chase & Co. Common Stock,311.45,835377303452.0,7396927,Finance
LLY,Eli Lilly and Company Common Stock,874.0,825771701994.0,2557350,Health Care
XOM,Exxon Mobil Corporation Common Stock,150.56,627347905484.0,15162058,Energy
V,Visa Inc.,309.3,592621678346.0,8797272,Real Estate
MU,Micron Technology Inc. Common Stock,504.29,568705004579.0,44553682,Technology
JNJ,Johnson & Johnson Common Stock,227.79,548339953824.0,7174721,Health Care
AMD,Advanced Micro Devices Inc. Common Stock,323.21,526941796761.0,42905802,Technology
ORCL,Oracle Corporation Common Stock,165.96,477308594160.0,33673550,Technology
MA,Mastercard Incorporated Common Stock,507.62,452701765310.0,3891197,Real Estate
COST,Costco Wholesale Corporation Common Stock,994.0,440990624760.0,1775332,Consumer Discretionary
INTC,Intel Corporation Common Stock,84.52,424797520000.0,147010897,Technology
NFLX,Netflix Inc. Common Stock,92.27,388530380179.0,33367318,Consumer Discretionary
CAT,Caterpillar Inc. Common Stock,817.87,380544550223.0,1873467,Industrials
BAC,Bank of America Corporation Common Stock,52.66,376293045471.0,21150303,Finance
CVX,Chevron Corporation Common Stock,188.36,375266908082.0,10738738,Energy
ABBV,AbbVie Inc. Common Stock,197.69,349666634309.0,6295339,Health Care
PG,Procter & Gamble Company (The) Common Stock,149.17,347357109548.0,7964920,Consumer Discretionary
CSCO,Cisco Systems Inc. Common Stock (DE),86.86,343087709628.0,16885939,Telecommunications
PLTR,Palantir Technologies Inc. Class A Common Stock,141.18,338430640649.0,24693076,Technology
KO,Coca-Cola Company (The) Common Stock,78.35,337230377913.0,30693760,Consumer Staples
UNH,UnitedHealth Group Incorporated Common Stock (DE),366.77,333105348029.0,10594232,Health Care
HD,Home Depot Inc. (The) Common Stock,329.06,327752861141.0,4275504,Consumer Discretionary
LRCX,Lam Research Corporation Common Stock,251.23,314180952330.0,11496469,Technology
AMAT,Applied Materials Inc. Common Stock,381.11,302452656412.0,10386251,Technology
GE,GE Aerospace Common Stock,289.2,301733128362.0,8414190,Technology
MS,Morgan Stanley Common Stock,190.36,301032793913.0,4107053,Finance
GEV,GE Vernova Inc. Common Stock,1088.93,292617264155.0,4203357,
GS,Goldman Sachs Group Inc. (The) Common Stock,926.55,273326636960.0,1500712,Finance
MRK,Merck & Company Inc. Common Stock (new),110.03,271915464343.0,7156229,Health Care
PM,Philip Morris International Inc Common Stock,165.89,258549326963.0,4067082,Health Care
WFC,Wells Fargo & Company Common Stock,81.5,251457743754.0,14826133,Finance
TXN,Texas Instruments Incorporated Common Stock,265.0,241174589615.0,8365892,Technology
KLAC,KLA Corporation Common Stock,1808.97,237113657001.0,1339759,Technology
RTX,RTX Corporation Common Stock,175.68,236585344631.0,6111403,Industrials
LIN,Linde plc Ordinary Shares,510.29,236465403865.0,2743228,Basic Materials
C,Citigroup Inc. Common Stock,128.53,224612216039.0,9585258,Finance
IBM,International Business Machines Corporation Common Stock,233.04,219030865651.0,5160104,Technology
AXP,American Express Company Common Stock,315.9,215546923344.0,6097921,Finance
PEP,PepsiCo Inc. Common Stock,156.29,213612219951.0,5173185,Consumer Staples
ANET,Arista Networks Inc. Common Stock,165.29,208128116407.0,7409267,Telecommunications
MCD,McDonald's Corporation Common Stock,292.39,207838891028.0,4085630,Consumer Discretionary
TMUS,T-Mobile US Inc. Common Stock,186.72,205739810626.0,11064367,Telecommunications
NEE,NextEra Energy Inc. Common Stock,96.51,201256303919.0,7241329,Technology
VZ,Verizon Communications Inc. Common Stock,47.24,199243400096.0,28364002,Telecommunications
ADI,Analog Devices Inc. Common Stock,383.26,187109125212.0,3843866,Technology
AMGN,Amgen Inc. Common Stock,339.57,183261006254.0,2375945,Health Care
T,AT&T Inc.,26.06,181991476553.0,30375182,Telecommunications
BA,Boeing Company (The) Common Stock,230.72,181877113808.0,3802996,Industrials
DIS,Walt Disney Company (The) Common Stock,101.47,179756119281.0,6406405,Consumer Discretionary
APH,Amphenol Corporation Common Stock,143.72,176693781497.0,9866872,Technology
TMO,Thermo Fisher Scientific Inc Common Stock,470.22,174679321214.0,2242984,Industrials
TJX,TJX Companies Inc. (The) Common Stock,157.2,173990634809.0,2840480,Consumer Discretionary
CRM,Salesforce Inc. Common Stock,181.32,167358360000.0,8706655,Technology
ISRG,Intuitive Surgical Inc. Common Stock,466.64,165266548591.0,1836432,Health Care
ABT,Abbott Laboratories Common Stock,93.86,163471956431.0,11541913,Health Care
BLK,BlackRock Inc. Common Stock,1049.76,163095677915.0,424526,Finance
GILD,Gilead Sciences Inc. Common Stock,129.26,160466017449.0,5939410,Health Care
ETN,Eaton Corporation PLC Ordinary Shares,413.07,160265104394.0,2483889,Technology
QCOM,QUALCOMM Incorporated Common Stock,150.0,160050000000.0,22885636,Technology
UNP,Union Pacific Corporation Common Stock,267.74,158960775649.0,2703883,Industrials
SCHW,Charles Schwab Corporation (The) Common Stock,90.83,157871572226.0,9258220,Finance
DE,Deere & Company Common Stock,563.86,152302692029.0,894786,Industrials
COP,ConocoPhillips Common Stock,124.32,151770822339.0,7238953,Energy
UBER,Uber Technologies Inc. Common Stock,74.11,151402753480.0,14019299,Real Estate
APP,Applovin Corporation Class A Common Stock,449.03,151006291046.0,2781612,Technology
WELL,Welltower Inc. Common Stock,214.23,150931566658.0,2974839,Real Estate
PFE,Pfizer Inc. Common Stock,26.48,150627670296.0,58042620,Health Care
SNDK,Sandisk Corporation Common Stock,1002.35,147947834284.0,14001529,Technology
PANW,Palo Alto Networks Inc. Common Stock,180.99,147687840000.0,6450263,Technology
BKNG,Booking Holdings Inc. Common Stock,173.38,135789750939.0,10901921,Consumer Discretionary
HON,Honeywell International Inc. Common Stock,212.93,134923758629.0,3795630,Industrials
LOW,Lowe's Companies Inc. Common Stock,240.32,134594443257.0,1698926,Consumer Discretionary
DELL,Dell Technologies Inc. Class C Common Stock ,205.93,132978978514.0,4433779,Technology
WDC,Western Digital Corporation Common Stock,390.99,132560437123.0,7189347,Technology
PLD,Prologis Inc. Common Stock,141.53,131938607574.0,4046580,Real Estate
GLW,Corning Incorporated Common Stock,153.05,131478533809.0,20353669,Industrials
SPGI,S&P Global Inc. Common Stock,433.47,131400750743.0,2492319,Finance
CB,Chubb Limited  Common Stock,330.34,128908257440.0,1619009,Finance
DHR,Danaher Corporation Common Stock,178.98,126676786820.0,5048594,Industrials
STX,Seagate Technology Holdings PLC Ordinary Shares (Ireland),579.03,126270847985.0,5815076,Technology
SYK,Stryker Corporation Common Stock,321.43,123102628442.0,2017629,Health Care
COF,Capital One Financial Corporation Common Stock,192.1,121829033543.0,2794281,Finance
PH,Parker-Hannifin Corporation Common Stock,962.26,121453117196.0,525233,Industrials
PGR,Progressive Corporation (The) Common Stock,203.03,118956566850.0,1879033,Finance
BMY,Bristol-Myers Squibb Company Common Stock,58.26,118951507608.0,6270661,Health Care
ACN,Accenture plc Class A Ordinary Shares (Ireland),177.75,118228997610.0,4426613,Real Estate
LMT,Lockheed Martin Corporation Common Stock,512.29,118115430742.0,1454499,Industrials
NEM,Newmont Corporation,109.9,117324048764.0,9784854,Basic Materials
VRT,Vertiv Holdings LLC Class A Common Stock,305.03,117164712144.0,8205942,Technology
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,454.99,115391874809.0,1870092,Technology
MO,Altria Group Inc.,67.8,113315059639.0,10250519,Health Care
SBUX,Starbucks Corporation Common Stock,97.28,110827415337.0,10306643,Consumer Discretionary
INTU,Intuit Inc. Common Stock,400.38,110725089000.0,2224273,Technology
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,430.14,109452117205.0,808472,Health Care
SO,Southern Company (The) Common Stock,94.41,106524674678.0,3949879,Utilities
TT,Trane Technologies plc,480.75,106304438518.0,1374402,Industrials
EQIX,Equinix Inc. Common Stock REIT,1076.4,106158321407.0,807082,Real Estate
MDT,Medtronic plc. Ordinary Shares,81.9,105150178552.0,9888009,Health Care
CVS,CVS Health Corporation Common Stock,80.98,103784324555.0,8304299,Consumer Staples
CME,CME Group Inc. Class A Common Stock,284.53,103102105002.0,1805403,Finance
MCK,McKesson Corporation Common Stock,835.0,102277025760.0,813160,Health Care
DUK,Duke Energy Corporation (Holding Company) Common Stock,127.8,99443432475.0,2166979,Utilities
CMCSA,Comcast Corporation Class A Common Stock,27.64,98780425431.0,23540189,Telecommunications
ADBE,Adobe Inc. Common Stock,243.2,98301440000.0,4637640,Technology
HCA,HCA Healthcare Inc. Common Stock,431.92,96563907795.0,1611141,Health Care
HWM,Howmet Aerospace Inc. Common Stock,240.43,96343560510.0,2728236,Industrials
CEG,Constellation Energy Corporation Common Stock ,305.71,95781903801.0,2628810,Utilities
MAR,Marriott International Class A Common Stock,358.33,94933081052.0,1239829,Consumer Discretionary
PWR,Quanta Services Inc. Common Stock,630.94,94676786917.0,1304126,Industrials
NOW,ServiceNow Inc. Common Stock,90.49,93295190000.0,20936083,Technology
FDX,FedEx Corporation Common Stock,390.21,93106742259.0,1210088,Consumer Discretionary
SNPS,Synopsys Inc. Common Stock,483.89,92694949245.0,1548256,Technology
BK,The Bank of New York Mellon Corporation Common Stock,133.54,91905831176.0,2886687,Finance
WM,Waste Management Inc. Common Stock,227.35,91602386271.0,2360208,Utilities
KKR,KKR & Co. Inc. Common Stock,101.4,90403260652.0,2789208,Finance
BX,Blackstone Inc. Common Stock,121.52,90189803160.0,6237168,Finance
CDNS,Cadence Design Systems Inc. Common Stock,325.31,89815510641.0,4884190,Technology
WMB,Williams Companies Inc. (The) Common Stock,73.04,89315567329.0,6301689,Utilities
PNC,PNC Financial Services Group Inc. (The) Common Stock,220.89,89100603181.0,1685662,Finance
CVNA,Carvana Co. Class A Common Stock,406.42,89047938801.0,1590520,Consumer Discretionary
CMI,Cummins Inc. Common Stock,642.45,88823479479.0,624623,Industrials
ICE,Intercontinental Exchange Inc. Common Stock,156.3,88533127944.0,2771928,Finance
UPS,United Parcel Service Inc. Common Stock,103.94,88270826414.0,12536091,Industrials
USB,U.S. Bancorp Common Stock,56.21,87333240862.0,7394676,Finance
BSX,Boston Scientific Corporation Common Stock,58.45,86866938511.0,16893266,Health Care
